airport name,airport,day,month,year,mean temp,mean wind speed,rain,snow,thunder,tornado
Hartsfield Jackson Atlanta International Airport,ATL,1,1,2008,39,16,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,2,1,2008,25,18,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,3,1,2008,28,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,4,1,2008,36,3,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,5,1,2008,43,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,6,1,2008,54,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,7,1,2008,58,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,8,1,2008,61,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,9,1,2008,61,5,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,10,1,2008,63,10,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,11,1,2008,51,9,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,12,1,2008,48,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,13,1,2008,49,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,14,1,2008,40,13,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,15,1,2008,40,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,16,1,2008,35,11,1,1,0,0
Hartsfield Jackson Atlanta International Airport,ATL,17,1,2008,36,9,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,18,1,2008,46,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,19,1,2008,36,10,1,1,0,0
Hartsfield Jackson Atlanta International Airport,ATL,20,1,2008,24,13,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,21,1,2008,31,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,22,1,2008,37,7,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,23,1,2008,45,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,24,1,2008,35,15,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,25,1,2008,31,8,1,1,0,0
Hartsfield Jackson Atlanta International Airport,ATL,26,1,2008,39,4,1,1,0,0
Hartsfield Jackson Atlanta International Airport,ATL,27,1,2008,43,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,28,1,2008,46,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,29,1,2008,52,12,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,30,1,2008,44,13,1,0,0,0
