Airline_Name,year,month,Word,Frequency,Polarity
Alaska Airlines Inc.,2015,7,great,6.0,0.8
Alaska Airlines Inc.,2015,7,seat,6.0,0.0
Alaska Airlines Inc.,2015,7,time,6.0,0.0
Alaska Airlines Inc.,2015,7,plane,5.0,0.0
Alaska Airlines Inc.,2015,7,service,5.0,0.0
Alaska Airlines Inc.,2015,7,board,4.0,0.0
Alaska Airlines Inc.,2015,7,minutes,4.0,0.0
Alaska Airlines Inc.,2015,7,comfortable,4.0,0.4
Alaska Airlines Inc.,2015,7,crew,4.0,0.0
Alaska Airlines Inc.,2015,7,mom,4.0,0.0
Alaska Airlines Inc.,2015,7,fine,4.0,0.416666666667
Alaska Airlines Inc.,2015,7,go,3.0,0.0
Alaska Airlines Inc.,2015,7,late,3.0,-0.3
Alaska Airlines Inc.,2015,7,one,3.0,0.0
Alaska Airlines Inc.,2015,7,hours,3.0,0.0
Alaska Airlines Inc.,2015,7,seat comfortable,3.0,0.4
Alaska Airlines Inc.,2015,7,make,3.0,0.0
Alaska Airlines Inc.,2015,7,nice,3.0,0.6
Alaska Airlines Inc.,2015,7,friendly,3.0,0.375
Alaska Airlines Inc.,2015,7,food,3.0,0.0
Alaska Airlines Inc.,2015,7,snack,3.0,0.0
Alaska Airlines Inc.,2015,7,staff,3.0,0.0
Alaska Airlines Inc.,2015,7,way,3.0,0.0
Alaska Airlines Inc.,2015,7,check,3.0,0.0
Alaska Airlines Inc.,2015,7,back,3.0,0.0
Alaska Airlines Inc.,2015,7,not,2.0,0.0
Alaska Airlines Inc.,2015,7,security,2.0,0.0
Alaska Airlines Inc.,2015,7,trip,2.0,0.0
Alaska Airlines Inc.,2015,7,rush,2.0,0.0
Alaska Airlines Inc.,2015,7,probably,2.0,0.0
Alaska Airlines Inc.,2015,7,well,2.0,0.0
Alaska Airlines Inc.,2015,7,would,2.0,0.0
Alaska Airlines Inc.,2015,7,aircraft,2.0,0.0
Alaska Airlines Inc.,2015,7,like,2.0,0.0
Alaska Airlines Inc.,2015,7,mom dad,2.0,0.0
Alaska Airlines Inc.,2015,7,minutes late,2.0,-0.3
Alaska Airlines Inc.,2015,7,lounge,2.0,0.0
Alaska Airlines Inc.,2015,7,american,2.0,0.0
Alaska Airlines Inc.,2015,7,issue,2.0,0.0
Alaska Airlines Inc.,2015,7,hour,2.0,0.0
Alaska Airlines Inc.,2015,7,great time,2.0,0.8
Alaska Airlines Inc.,2015,7,free,2.0,0.4
Alaska Airlines Inc.,2015,7,excellent,2.0,1.0
Alaska Airlines Inc.,2015,7,decide,2.0,0.0
Alaska Airlines Inc.,2015,7,dad,2.0,0.0
Alaska Airlines Inc.,2015,7,crew great,2.0,0.8
Alaska Airlines Inc.,2015,7,cookies,2.0,0.0
Alaska Airlines Inc.,2015,7,big,2.0,0.0
Alaska Airlines Inc.,2015,7,behind,2.0,-0.4
Alaska Airlines Inc.,2015,7,year,2.0,0.0
Alaska Airlines Inc.,2015,6,would,2.0,0.0
Alaska Airlines Inc.,2015,6,return,2.0,0.0
Alaska Airlines Inc.,2015,6,trip,2.0,0.0
Alaska Airlines Inc.,2015,6,service,2.0,0.0
Alaska Airlines Inc.,2015,6,adjust,1.0,0.0
Alaska Airlines Inc.,2015,6,status appreciate,1.0,0.0
Alaska Airlines Inc.,2015,6,redmond horizon,1.0,0.0
Alaska Airlines Inc.,2015,6,return greatland,1.0,0.0
Alaska Airlines Inc.,2015,6,return trip,1.0,0.0
Alaska Airlines Inc.,2015,6,seat,1.0,0.0
Alaska Airlines Inc.,2015,6,seat not,1.0,0.0
Alaska Airlines Inc.,2015,6,service fine,1.0,0.416666666667
Alaska Airlines Inc.,2015,6,status,1.0,0.0
Alaska Airlines Inc.,2015,6,thing though,1.0,0.0
Alaska Airlines Inc.,2015,6,thing,1.0,0.0
Alaska Airlines Inc.,2015,6,bump first,1.0,0.25
Alaska Airlines Inc.,2015,6,though,1.0,0.0
Alaska Airlines Inc.,2015,6,though would,1.0,0.0
Alaska Airlines Inc.,2015,6,trip great,1.0,0.8
Alaska Airlines Inc.,2015,6,trip redmond,1.0,0.0
Alaska Airlines Inc.,2015,6,understand,1.0,0.0
Alaska Airlines Inc.,2015,6,understand don,1.0,0.0
Alaska Airlines Inc.,2015,6,wish,1.0,0.0
Alaska Airlines Inc.,2015,6,wish would,1.0,0.0
Alaska Airlines Inc.,2015,6,redmond,1.0,0.0
Alaska Airlines Inc.,2015,6,problems anything,1.0,0.0
Alaska Airlines Inc.,2015,6,problems,1.0,0.0
Alaska Airlines Inc.,2015,6,plane clean,1.0,0.366666666667
Alaska Airlines Inc.,2015,6,clean,1.0,0.366666666667
Alaska Airlines Inc.,2015,6,clean nothing,1.0,0.366666666667
Alaska Airlines Inc.,2015,6,complain,1.0,0.0
Alaska Airlines Inc.,2015,6,complain trip,1.0,0.0
Alaska Airlines Inc.,2015,6,crew,1.0,0.0
Alaska Airlines Inc.,2015,6,crew impressive,1.0,1.0
Alaska Airlines Inc.,2015,6,horizon no,1.0,0.0
Alaska Airlines Inc.,2015,6,impressive customer,1.0,1.0
Alaska Airlines Inc.,2015,6,legs,1.0,0.0
Alaska Airlines Inc.,2015,6,legs crew,1.0,0.0
Alaska Airlines Inc.,2015,6,no,1.0,0.0
Alaska Airlines Inc.,2015,6,no problems,1.0,0.0
Alaska Airlines Inc.,2015,6,not,1.0,0.0
Alaska Airlines Inc.,2015,6,not adjust,1.0,0.0
Alaska Airlines Inc.,2015,6,nothing,1.0,0.0
Alaska Airlines Inc.,2015,6,nothing complain,1.0,0.0
Alaska Airlines Inc.,2015,6,one,1.0,0.0
Alaska Airlines Inc.,2015,6,one thing,1.0,0.0
Alaska Airlines Inc.,2015,6,ontime,1.0,0.0
Alaska Airlines Inc.,2015,6,ontime bump,1.0,0.0
Alaska Airlines Inc.,2015,6,plane,1.0,0.0
Alaska Airlines Inc.,2015,6,would seat,1.0,0.0
Alaska Airlines Inc.,2015,5,seem,4.0,0.0
Alaska Airlines Inc.,2015,5,service,4.0,0.0
Alaska Airlines Inc.,2015,5,good,4.0,0.7
Alaska Airlines Inc.,2015,5,may,3.0,0.0
Alaska Airlines Inc.,2015,5,class,3.0,0.0
Alaska Airlines Inc.,2015,5,crew,3.0,0.0
Alaska Airlines Inc.,2015,5,not,3.0,0.0
Alaska Airlines Inc.,2015,5,first,3.0,0.25
Alaska Airlines Inc.,2015,5,time,2.0,0.0
Alaska Airlines Inc.,2015,5,airline,2.0,0.0
Alaska Airlines Inc.,2015,5,please,2.0,0.0
Alaska Airlines Inc.,2015,5,return,2.0,0.0
Alaska Airlines Inc.,2015,5,quite good,2.0,0.7
Alaska Airlines Inc.,2015,5,quite,2.0,0.0
Alaska Airlines Inc.,2015,5,first class,2.0,0.25
Alaska Airlines Inc.,2015,5,employees,2.0,0.0
Alaska Airlines Inc.,2015,5,always,2.0,0.0
Alaska Airlines Inc.,2015,5,fine,2.0,0.416666666667
Alaska Airlines Inc.,2015,5,efficient,2.0,0.0
Alaska Airlines Inc.,2015,5,even,2.0,0.0
Alaska Airlines Inc.,2015,5,experience,2.0,0.0
Alaska Airlines Inc.,2015,5,rest plane,1.0,0.0
Alaska Airlines Inc.,2015,5,rest,1.0,0.0
Alaska Airlines Inc.,2015,5,relax affable,1.0,0.8
Alaska Airlines Inc.,2015,5,return recently,1.0,0.0
Alaska Airlines Inc.,2015,5,relax,1.0,0.0
Alaska Airlines Inc.,2015,5,regularly wish,1.0,0.0
Alaska Airlines Inc.,2015,5,regularly,1.0,0.0
Alaska Airlines Inc.,2015,5,recently trip,1.0,0.0
Alaska Airlines Inc.,2015,5,recently,1.0,0.0
Alaska Airlines Inc.,2015,5,rate highly,1.0,0.16
Alaska Airlines Inc.,2015,5,rate,1.0,0.0
Alaska Airlines Inc.,2015,5,return use,1.0,0.0
Alaska Airlines Inc.,2015,5,affable,1.0,0.8
Alaska Airlines Inc.,2015,5,quick efficient,1.0,0.333333333333
Alaska Airlines Inc.,2015,5,quick,1.0,0.333333333333
Alaska Airlines Inc.,2015,5,put interrupt,1.0,0.0
Alaska Airlines Inc.,2015,5,put,1.0,0.0
Alaska Airlines Inc.,2015,5,present frequent,1.0,0.05
Alaska Airlines Inc.,2015,5,present,1.0,0.0
Alaska Airlines Inc.,2015,5,please not,1.0,0.0
Alaska Airlines Inc.,2015,5,next half,1.0,-0.0833333333333
Alaska Airlines Inc.,2015,5,next,1.0,0.0
Alaska Airlines Inc.,2015,5,need go,1.0,0.0
Alaska Airlines Inc.,2015,5,need,1.0,0.0
Alaska Airlines Inc.,2015,5,much cost,1.0,0.2
Alaska Airlines Inc.,2015,5,much,1.0,0.2
Alaska Airlines Inc.,2015,5,move rest,1.0,0.0
Alaska Airlines Inc.,2015,5,move,1.0,0.0
Alaska Airlines Inc.,2015,5,pm difference,1.0,0.0
Alaska Airlines Inc.,2015,4,seat,5.0,0.0
Alaska Airlines Inc.,2015,4,class,4.0,0.0
Alaska Airlines Inc.,2015,4,no,4.0,0.0
Alaska Airlines Inc.,2015,4,awful,3.0,-1.0
Alaska Airlines Inc.,2015,4,available,3.0,0.4
Alaska Airlines Inc.,2015,4,say,3.0,0.0
Alaska Airlines Inc.,2015,4,first,3.0,0.25
Alaska Airlines Inc.,2015,4,go,3.0,0.0
Alaska Airlines Inc.,2015,4,smell,2.0,0.0
Alaska Airlines Inc.,2015,4,minutes,2.0,0.0
Alaska Airlines Inc.,2015,4,return,2.0,0.0
Alaska Airlines Inc.,2015,4,several,2.0,0.0
Alaska Airlines Inc.,2015,4,not,2.0,0.0
Alaska Airlines Inc.,2015,4,no choice,2.0,0.0
Alaska Airlines Inc.,2015,4,meal,2.0,0.0
Alaska Airlines Inc.,2015,4,hours,2.0,0.0
Alaska Airlines Inc.,2015,4,first class,2.0,0.25
Alaska Airlines Inc.,2015,4,early,2.0,0.1
Alaska Airlines Inc.,2015,4,dinner,2.0,0.0
Alaska Airlines Inc.,2015,4,choice,2.0,0.0
Alaska Airlines Inc.,2015,4,issue,2.0,0.0
Alaska Airlines Inc.,2015,4,board,2.0,0.0
Alaska Airlines Inc.,2015,4,problem someone,1.0,0.0
Alaska Airlines Inc.,2015,4,position land,1.0,0.0
Alaska Airlines Inc.,2015,4,print,1.0,0.0
Alaska Airlines Inc.,2015,4,print night,1.0,0.0
Alaska Airlines Inc.,2015,4,problem,1.0,0.0
Alaska Airlines Inc.,2015,4,recline,1.0,0.0
Alaska Airlines Inc.,2015,4,pueto,1.0,0.0
Alaska Airlines Inc.,2015,4,pueto vallarta,1.0,0.0
Alaska Airlines Inc.,2015,4,recline seat,1.0,0.0
Alaska Airlines Inc.,2015,4,poorest experience,1.0,0.0
Alaska Airlines Inc.,2015,4,position,1.0,0.0
Alaska Airlines Inc.,2015,4,accommodate,1.0,0.0
Alaska Airlines Inc.,2015,4,poorest,1.0,0.0
Alaska Airlines Inc.,2015,4,platter excellent,1.0,1.0
Alaska Airlines Inc.,2015,4,platter,1.0,0.0
Alaska Airlines Inc.,2015,4,plane leave,1.0,0.0
Alaska Airlines Inc.,2015,4,plane,1.0,0.0
Alaska Airlines Inc.,2015,4,plan variety,1.0,0.0
Alaska Airlines Inc.,2015,4,plan,1.0,0.0
Alaska Airlines Inc.,2015,4,person aisle,1.0,0.0
Alaska Airlines Inc.,2015,4,passengers allow,1.0,0.0
Alaska Airlines Inc.,2015,4,passengers,1.0,0.0
Alaska Airlines Inc.,2015,4,pass print,1.0,0.0
Alaska Airlines Inc.,2015,4,pass,1.0,0.0
Alaska Airlines Inc.,2015,4,particular fortunately,1.0,0.283333333333
Alaska Airlines Inc.,2015,4,page couldn,1.0,0.0
Alaska Airlines Inc.,2015,4,one direction,1.0,0.0
Alaska Airlines Inc.,2015,4,person,1.0,0.0
Alaska Airlines Inc.,2015,3,service,3.0,0.0
Alaska Airlines Inc.,2015,3,good,3.0,0.7
Alaska Airlines Inc.,2015,3,offer,3.0,0.0
Alaska Airlines Inc.,2015,3,good service,2.0,0.7
Alaska Airlines Inc.,2015,3,kona,2.0,0.0
Alaska Airlines Inc.,2015,3,major,2.0,0.0625
Alaska Airlines Inc.,2015,3,one,2.0,0.0
Alaska Airlines Inc.,2015,3,offer good,2.0,0.7
Alaska Airlines Inc.,2015,3,unite,2.0,0.0
Alaska Airlines Inc.,2015,3,service kona,1.0,0.0
Alaska Airlines Inc.,2015,3,since,1.0,0.0
Alaska Airlines Inc.,2015,3,since last,1.0,0.0
Alaska Airlines Inc.,2015,3,trip,1.0,0.0
Alaska Airlines Inc.,2015,3,step offer,1.0,0.0
Alaska Airlines Inc.,2015,3,time,1.0,0.0
Alaska Airlines Inc.,2015,3,time distinguish,1.0,0.0
Alaska Airlines Inc.,2015,3,step,1.0,0.0
Alaska Airlines Inc.,2015,3,aircraft,1.0,0.0
Alaska Airlines Inc.,2015,3,trip keep,1.0,0.0
Alaska Airlines Inc.,2015,3,service decent,1.0,0.166666666667
Alaska Airlines Inc.,2015,3,unite use,1.0,0.0
Alaska Airlines Inc.,2015,3,upgrade,1.0,0.0
Alaska Airlines Inc.,2015,3,upgrade meal,1.0,0.0
Alaska Airlines Inc.,2015,3,use,1.0,0.0
Alaska Airlines Inc.,2015,3,use aircraft,1.0,0.0
Alaska Airlines Inc.,2015,3,win,1.0,0.8
Alaska Airlines Inc.,2015,3,work,1.0,0.0
Alaska Airlines Inc.,2015,3,work attendant,1.0,0.2
Alaska Airlines Inc.,2015,3,unite dust,1.0,0.0
Alaska Airlines Inc.,2015,3,room sector,1.0,0.0
Alaska Airlines Inc.,2015,3,sector individual,1.0,0.0
Alaska Airlines Inc.,2015,3,sector,1.0,0.0
Alaska Airlines Inc.,2015,3,excellent,1.0,1.0
Alaska Airlines Inc.,2015,3,last,1.0,0.0
